T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1908.30362	3	97	0	0	1.120084973	98.87991503	3	97					-0.000897770382	0.0008977703821	-1908.30362	0	10.4371787820643	
1908.29362	3	97	0.0004797015011	0.0004774711639	1.120429898	98.8795701	3.000897738	96.99910226					0	0	-1908.29362	0.0004774711639	31.4501675377033	
1908.27362	3	97	0.001438084972	0.0009543113143	1.121119747	98.87888025	3.002693212	96.99730679					0	0	-1908.27362	0.0009543113143	41.9652793482809	
1908.23362	3	97	0.003350848794	0.001906460754	1.122499456	98.87750054	3.006284046	96.99371595					0	0	-1908.23362	0.001906460754	42.0580354786084	
1908.15362	3	97	0.007160423088	0.003804292984	1.125258921	98.87474108	3.013465232	96.98653477					0	0	-1908.15362	0.003804292984	-7735.930838514	
1908.07362	3	97	0.0109447897	0.003793894343	1.12801844	98.87198156	3.020645659	96.97935434					0	0	-1908.07362	0.003793894343	-8203.97272215859	
1907.99362	3	97	0.01470559124	0.003784654064	1.130778018	98.86922198	3.027825326	96.97217467					0	0	-1907.99362	0.003784654064	-8680.75648210589	
1907.91362	3	97	0.0184430349	0.003775462512	1.133537658	98.86646234	3.035004241	96.96499576					0	0	-1907.91362	0.003775462512	-8724.80377422706	
1907.83362	3	97	0.02215732176	0.003766315328	1.136297358	98.86370264	3.042182404	96.9578176					0	0	-1907.83362	0.003766315328	-8767.06394447678	
1907.75362	3	97	0.02584865069	0.003757212176	1.139057119	98.86094288	3.049359816	96.95064018					0	0	-1907.75362	0.003757212176	-8809.42031239924	
1907.67362	3	97	0.02951721835	0.003748152742	1.141816941	98.85818306	3.056536477	96.94346352					0	0	-1907.67362	0.003748152742	-8851.88730289963	
1907.59362	3	97	0.03316321929	0.003739136726	1.144576823	98.85542318	3.063712386	96.93628761					0	0	-1907.59362	0.003739136726	-8894.45255823135	
1907.51362	3	97	0.0367868459	0.003730163795	1.147336765	98.85266323	3.070887545	96.92911246					0	0	-1907.51362	0.003730163795	-8937.11481351685	
1907.43362	3	97	0.04038828849	0.003721233652	1.150096768	98.84990323	3.078061953	96.92193805					0	0	-1907.43362	0.003721233652	-8979.88179466286	
