T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2#1)	fw(@BCC_A2#2)	w(CU@BCC_A2#1)	w(FE@BCC_A2#1)	w(TI@BCC_A2#1)	w(CU@BCC_A2#2)	w(FE@BCC_A2#2)	w(TI@BCC_A2#2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2#1)_1	fw(@BCC_A2#2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI								
1712.590959	4	10	86	0	0		1.798883664	4.063240015	94.13787632				4	10	86	-0.000129943962	-0.0003504783079	0.0004804222698	-1712.590959	0	166.857217976137	-1712.590959	0			
1712.580959	4	10	86	5.991211158E-05	5.906530139E-05		1.798950644	4.063442884	94.13760647				4.000129872	10.00035024	85.99951989	0	0	0	-1712.580959	5.991211158E-05	166.965100633528	-1712.580959	5.906530139E-05			
1712.560959	4	10	86	0.0001796203499	0.0001180351061		1.799084643	4.063848675	94.13706668				4.00038967	10.00105095	85.99855938	0	0	0	-1712.560959	0.0001796203499	167.051595046858	-1712.560959	0.0001180351061			
1712.520959	4	10	86	0.0004191283844	0.0002361886376		1.79935262	4.064660308	94.13598707				4.000909582	10.00245321	85.99663721	0	0	0	-1712.520959	0.0004191283844	167.056571958596	-1712.520959	0.0002361886376			
1712.440959	4	10	86	0.0008977357925	0.0004720868517		1.799888955	4.066283978	94.13382707				4.001948991	10.0052565	85.99279451	0	0	0	-1712.440959	0.0008977357925	167.212673569192	-1712.440959	0.0004720868517			
1712.280959	4	10	86	0.001853903498	0.0009435126949		1.800961031	4.069531644	94.12950732				4.004027494	10.01086187	85.98511063	0	0	0	-1712.280959	0.001853903498	167.453053549066	-1712.280959	0.0009435126949			
1711.960959	4	10	86	0.003762194202	0.001884830134		1.803104469	4.076029361	94.12086617				4.008183223	10.02206774	85.96974904	0	0	0	-1711.960959	0.003762194202	167.926799845355	-1711.960959	0.001884830134			
1711.320959	4	10	86	0.007562675464	0.003760916983		1.807388482	4.089034353	94.10357716				4.016489596	10.04446	85.93905041	0	0	0	-1711.320959	0.007562675464	168.87736580751	-1711.320959	0.003760916983			
1710.040959	4	10	86	0.01509986242	0.007487161272		1.815945067	4.115082699	94.06897223				4.03308224	10.08916675	85.87775101	0	0	0	-1710.040959	0.01509986242	170.857414476996	-1710.040959	0.007487161272			
1707.480959	4	10	86	0.0299072736	0.01482367162		1.833011249	4.167334322	93.99965443				4.066186185	10.17827116	85.75554265	0	0	0	-1707.480959	0.0299072736	175.154195530592	-1707.480959	0.01482367162			
1704.920959	4	10	86	0.04434080825	0.01466852931		1.850011709	4.219798773	93.93018952				4.099178028	10.26697366	85.63384831	0	0	0	-1704.920959	0.04434080825	179.666031575819	-1704.920959	0.01466852931			
1702.360959	4	10	86	0.0584137144	0.01451665708		1.866945424	4.272477643	93.86057693				4.1320598	10.35527488	85.51266532	0	0	0	-1702.360959	0.0584137144	184.240101020717	-1702.360959	0.01451665708			
1699.800959	4	10	86	0.07213930952	0.0143686544		1.883812103	4.325374645	93.79081325				4.164834915	10.44317883	85.39198625	0	0	0	-1699.800959	0.07213930952	188.873100601732	-1699.800959	0.0143686544			
1697.240959	4	10	86	0.08553012759	0.01422423657		1.900611218	4.378492869	93.72089591				4.197506385	10.53068847	85.27180515	0	0	0	-1697.240959	0.08553012759	193.565897596815	-1697.240959	0.01422423657			
1694.680959	4	10	86	0.09859812598	0.01408329623		1.91734223	4.431835444	93.65082233				4.23007721	10.61780669	85.1521161	0	0	0	-1694.680959	0.09859812598	198.318304548533	-1694.680959	0.01408329623			
1692.120959	4	10	86	0.111354719	0.01394573194		1.934004584	4.485405534	93.58058988				4.262550381	10.70453638	85.03291324	0	0	0	-1692.120959	0.111354719	203.130112442458	-1692.120959	0.01394573194			
1689.560959	4	10	86	0.1238108077	0.01381144636		1.950597711	4.539206349	93.51019594				4.294928884	10.79088041	84.91419071	0	0	0	-1689.560959	0.1238108077	208.001098435852	-1689.560959	0.01381144636			
1687.000959	4	10	86	0.1359768081	0.01368034622		1.967121027	4.593241135	93.43963784				4.327215698	10.87684161	84.79594269	0	0	0	-1687.000959	0.1359768081	212.931022838492	-1687.000959	0.01368034622			
1684.440959	4	10	86	0.1478626776	0.01355234214		1.983573938	4.647513182	93.36891288				4.359413797	10.9624228	84.6781634	0	0	0	-1684.440959	0.1478626776	217.919633605728	-1684.440959	0.01355234214			
1681.880959	4	10	86	0.1594779392	0.01342734842		1.99995583	4.70202582	93.29801835				4.391526152	11.04762678	84.56084707	0	0	0	-1681.880959	0.1594779392	222.966663181682	-1681.880959	0.01342734842			
1679.320959	4	10	86	0.170831705	0.01330528289		2.016266078	4.756782422	93.2269515				4.423555732	11.13245631	84.44398796	0	0	0	-1679.320959	0.170831705	228.071826137012	-1679.320959	0.01330528289			
1676.760959	4	10	86	0.1819326977	0.01318606671		2.032504043	4.811786406	93.15570955				4.455505503	11.21691414	84.32758036	0	0	0	-1676.760959	0.1819326977	233.234822569546	-1676.760959	0.01318606671			
1674.200959	4	10	86	0.1927892709	0.01306962425		2.048669068	4.86704123	93.0842897				4.487378433	11.301003	84.21161857	0	0	0	-1674.200959	0.1927892709	238.455337450589	-1674.200959	0.01306962425			
1671.640959	4	10	86	0.2034094281	0.01295588289		2.064760485	4.9225504	93.01268912				4.51917749	11.38472558	84.09609693	0	0	0	-1671.640959	0.2034094281	243.733035735109	-1671.640959	0.01295588289			
1669.080959	4	10	86	0.213800841	0.01284477294		2.080777608	4.978317464	92.94090493				4.550905644	11.46808457	83.98100979	0	0	0	-1669.080959	0.213800841	249.067570238683	-1669.080959	0.01284477294			
1666.520959	4	10	86	0.2239708656	0.01273622747		2.096719738	5.034346017	92.86893424				4.582565868	11.55108262	83.86635151	0	0	0	-1666.520959	0.2239708656	254.458577544554	-1666.520959	0.01273622747			
1663.960959	4	10	86	0.2339265587	0.0126301822		2.11258616	5.090639701	92.79677414				4.614161141	11.63372236	83.7521165	0	0	0	-1663.960959	0.2339265587	259.905672095772	-1663.960959	0.0126301822			
1661.400959	4	10	86	0.2436746926	0.01252657538		2.128376143	5.147202202	92.72442165				4.645694446	11.71600639	83.63829916	0	0	0	-1661.400959	0.2436746926	265.40845520869	-1661.400959	0.01252657538			
1658.840959	4	10	86	0.253221769	0.01242534767		2.144088941	5.204037257	92.6518738				4.677168774	11.79793732	83.52489391	0	0	0	-1658.840959	0.253221769	270.966511648942	-1658.840959	0.01242534767			
1656.280959	4	10	86	0.2625740323	0.01232644204		2.159723793	5.261148648	92.57912756				4.708587122	11.87951768	83.4118952	0	0	0	-1656.280959	0.2625740323	276.579405624206	-1656.280959	0.01232644204			
1653.720959	4	10	86	0.2717374822	0.01222980369		2.175279922	5.318540208	92.50617987				4.739952499	11.96075003	83.29929747	0	0	0	-1653.720959	0.2717374822	282.246682147949	-1653.720959	0.01222980369			
1651.160959	4	10	86	0.2807178854	0.01213537993		2.190756533	5.376215819	92.43302765				4.771267922	12.04163688	83.1870952	0	0	0	-1651.160959	0.2807178854	287.96787522967	-1651.160959	0.01213537993			
1648.600959	4	10	86	0.2895207863	0.01204312011		2.206152817	5.434179411	92.35966777				4.802536421	12.12218072	83.07528286	0	0	0	-1648.600959	0.2895207863	293.74249497706	-1648.600959	0.01204312011			
1646.040959	4	10	86	0.2981515182	0.0119529755		2.221467949	5.492434968	92.28609708				4.833761038	12.20238402	82.96385494	0	0	0	-1646.040959	0.2981515182	299.570031383842	-1646.040959	0.0119529755			
1643.480959	4	10	86	0.3066152126	0.01186489929		2.236701086	5.550986523	92.21231239				4.864944829	12.28224921	82.85280596	0	0	0	-1643.480959	0.3066152126	305.449962830964	-1643.480959	0.01186489929			
1640.920959	4	10	86	0.3149168087	0.01177884641		2.25185137	5.609838162	92.13831047				4.896090865	12.36177873	82.7421304	0	0	0	-1640.920959	0.3149168087	311.38173970433	-1640.920959	0.01177884641			
1638.360959	4	10	86	0.3230610626	0.01169477354		2.266917925	5.668994024	92.06408805				4.927202236	12.44097497	82.6318228	0	0	0	-1638.360959	0.3230610626	317.364801319297	-1638.360959	0.01169477354			
1635.800959	4	10	86	0.3310525549	0.01161263902		2.281899859	5.728458301	91.98964184				4.958282046	12.51984029	82.52187767	0	0	0	-1635.800959	0.3310525549	323.398566584329	-1635.800959	0.01161263902			
1633.240959	4	10	86	0.3388956994	0.01153240277		2.296796263	5.78823524	91.9149685				4.989333422	12.59837704	82.41228954	0	0	0	-1633.240959	0.3388956994	329.482425739282	-1633.240959	0.01153240277			
1630.680959	4	10	86	0.3465947503	0.01145402623		2.31160621	5.848329139	91.84006465				5.020359507	12.67658755	82.30305294	0	0	0	-1630.680959	0.3465947503	335.615756803281	-1630.680959	0.01145402623			
1628.120959	4	10	86	0.3541538092	0.01137747234		2.326328756	5.908744358	91.76492689				5.051363471	12.75447412	82.19416241	0	0	0	-1628.120959	0.3541538092	341.797920958648	-1628.120959	0.01137747234			
1625.560959	4	10	86	0.3615768318	0.01130270543		2.340962941	5.969485306	91.68955175				5.082348503	12.832039	82.08561249	0	0	0	-1625.560959	0.3615768318	348.028252759827	-1625.560959	0.01130270543			
1623.000959	4	10	86	0.3688676346	0.01122969122		2.355507785	6.030556454	91.61393576				5.113317818	12.90928447	81.97739772	0	0	0	-1623.000959	0.3688676346	354.306067537365	-1623.000959	0.01122969122			
1620.440959	4	10	86	0.3760299006	0.01115839672		2.369962292	6.091962328	91.53807538				5.144274659	12.98621272	81.86951262	0	0	0	-1620.440959	0.3760299006	360.630661899965	-1620.440959	0.01115839672			
1617.880959	4	10	86	0.3830671853	0.01108879023		2.384325447	6.153707512	91.46196704				5.175222293	13.06282596	81.76195175	0	0	0	-1617.880959	0.3830671853	367.001306904333	-1617.880959	0.01108879023			
1615.320959	4	10	86	0.3899829221	0.01102084128		2.398596219	6.215796649	91.38560713				5.206164018	13.13912635	81.65470963	0	0	0	-1615.320959	0.3899829221	373.417258705602	-1615.320959	0.01102084128			
1612.760959	4	10	86	0.3967804273	0.01095452057		2.412773558	6.278234441	91.308992				5.237103164	13.21511605	81.54778079	0	0	0	-1612.760959	0.3967804273	379.877746676045	-1612.760959	0.01095452057			
1610.200959	4	10	86	0.4034629054	0.01088979995		2.426856393	6.34102565	91.23211796				5.268043089	13.29079715	81.44115976	0	0	0	-1610.200959	0.4034629054	386.381982367199	-1610.200959	0.01088979995			
1607.640959	4	10	86	0.4100334533	0.01082665238		2.440843639	6.404175098	91.15498126				5.298987187	13.36617176	81.33484106	0	0	0	-1607.640959	0.4100334533	392.929155964947	-1607.640959	0.01082665238			
1605.080959	4	10	86	0.4164950652	0.01076505187		2.45473419	6.46768767	91.07757814				5.329938889	13.44124192	81.22881919	0	0	0	-1605.080959	0.4164950652	399.518430199358	-1605.080959	0.01076505187			
1602.520959	4	10	86	0.4228506366	0.0107049735		2.468526923	6.531568309	90.99990477				5.36090166	13.51600967	81.12308867	0	0	0	-1602.520959	0.4228506366	406.148953683477	-1602.520959	0.0107049735			
1599.960959	4	10	86	0.4291029683	0.01064639332		2.482220694	6.595822024	90.92195728				5.391879005	13.59047701	81.01764398	0	0	0	-1599.960959	0.4291029683	412.819845480535	-1599.960959	0.01064639332			
1597.400959	4	10	86	0.4352547705	0.01058928838		2.495814342	6.660453884	90.84373177				5.422874468	13.66464592	80.91247961	0	0	0	-1597.400959	0.4352547705	419.530202318346	-1597.400959	0.01058928838			
1594.840959	4	10	86	0.4413086662	0.01053363665		2.509306688	6.725469022	90.76522429				5.453891637	13.73851833	80.80759003	0	0	0	-1594.840959	0.4413086662	426.27910993811	-1594.840959	0.01053363665			
1592.280959	4	10	86	0.4472671946	0.01047941703		2.522696532	6.790872635	90.68643083				5.484934144	13.81209617	80.70296969	0	0	0	-1592.280959	0.4472671946	433.065617464026	-1592.280959	0.01047941703			
1589.720959	4	10	86	0.4531328149	0.01042660931		2.535982658	6.856669985	90.60734736				5.516005665	13.8853813	80.59861304	0	0	0	-1589.720959	0.4531328149	439.888751210382	-1589.720959	0.01042660931			
1587.160959	4	10	86	0.458907909	0.01037519413		2.549163827	6.922866396	90.52796978				5.547109924	13.95837558	80.4945145	0	0	0	-1587.160959	0.458907909	446.747528364905	-1587.160959	0.01037519413			
1584.600959	4	10	86	0.4645947846	0.01032515298		2.562238784	6.989467261	90.44829396				5.578250697	14.03108083	80.39066848	0	0	0	-1584.600959	0.4645947846	453.64093625952	-1584.600959	0.01032515298			
1582.040959	4	10	86	0.4701956782	0.01027646817		2.575206255	7.056478035	90.36831571				5.60943181	14.10349882	80.28706937	0	0	0	-1582.040959	0.4701956782	460.567928247497	-1582.040959	0.01027646817			
1579.480959	4	10	86	0.475712758	0.0102291228		2.588064946	7.12390424	90.28803081				5.640657142	14.17563132	80.18371154	0	0	0	-1579.480959	0.475712758	467.527450378269	-1579.480959	0.0102291228			
1576.920959	4	10	86	0.481148126	0.01018310075		2.600813543	7.191751466	90.20743499				5.671930631	14.24748003	80.08058934	0	0	0	-1576.920959	0.481148126	474.518412967548	-1576.920959	0.01018310075			
1574.360959	4	10	86	0.4865038213	0.01013838665		2.613450716	7.260025367	90.12652392				5.70325627	14.31904664	79.97769709	0	0	0	-1574.360959	0.4865038213	481.539714114226	-1574.360959	0.01013838665			
1571.800959	4	10	86	0.4917818215	0.01009496589		2.625975113	7.328731666	90.04529322				5.734638114	14.39033278	79.8750291	0	0	0	-1571.800959	0.4917818215	488.590225972249	-1571.800959	0.01009496589			
1569.240959	4	10	86	0.496984046	0.01005282453		2.638385365	7.397876151	89.96373848				5.766080281	14.46134007	79.77257965	0	0	0	-1569.240959	0.496984046	495.668779867659	-1569.240959	0.01005282453			
1566.680959	4	10	86	0.5021123576	0.01001194941		2.650680084	7.467464678	89.88185524				5.797586954	14.53207007	79.67034298	0	0	0	-1566.680959	0.5021123576	502.774215196322	-1566.680959	0.01001194941			
1564.120959	4	10	86	0.5071685645	0.009972327983		2.662857861	7.53750317	89.79963897				5.829162383	14.60252431	79.56831331	0	0	0	-1564.120959	0.5071685645	509.905328827408	-1564.120959	0.009972327983			
1561.560959	4	10	86	0.5121544228	0.009933948432		2.674917272	7.60799762	89.71708511				5.86081089	14.67270427	79.46648484	0	0	0	-1561.560959	0.5121544228	517.060885956721	-1561.560959	0.009933948432			
1559.000959	4	10	86	0.5170716381	0.009896799574		2.686856871	7.678954085	89.63418904				5.892536868	14.74261141	79.36485173	0	0	0	-1559.000959	0.5170716381	524.239645886706	-1559.000959	0.009896799574			
1556.440959	4	10	86	0.5219218673	0.009860870884		2.698675197	7.750378691	89.55094611				5.924344786	14.81224711	79.2634081	0	0	0	-1556.440959	0.5219218673	531.440345087083	-1556.440959	0.009860870884			
1553.880959	4	10	86	0.5267067204	0.009826152467		2.710370767	7.822277632	89.4673516				5.956239193	14.88161275	79.16214805	0	0	0	-1553.880959	0.5267067204	538.661688651315	-1553.880959	0.009826152467			
1551.320959	4	10	86	0.5314277623	0.009792635055		2.721942084	7.894657168	89.38340075				5.988224717	14.95070964	79.06106564	0	0	0	-1551.320959	0.5314277623	545.902358729292	-1551.320959	0.009792635055			
1548.760959	4	10	86	0.5360865143	0.009760309995		2.73338763	7.967523626	89.29908874				6.020306071	15.01953904	78.96015489	0	0	0	-1548.760959	0.5360865143	553.161011627143	-1548.760959	0.009760309995			
1546.200959	4	10	86	0.5406844558	0.00972916923		2.744705872	8.040883402	89.21441073				6.052488057	15.08810217	78.85940977	0	0	0	-1546.200959	0.5406844558	560.436289086056	-1546.200959	0.00972916923			
1543.640959	4	10	86	0.5452230255	0.009699205306		2.755895258	8.114742955	89.12936179				6.084775565	15.1564002	78.75882424	0	0	0	-1543.640959	0.5452230255	567.72681651115	-1543.640959	0.009699205306			
