T	w(TI)	fs	fw(@BCC_A2)	w(TI@BCC_A2)	w(TI@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	mole/mole	kg/kg	%	%	SI							
1940.98	100	0	0	100	100	0	-1940.98	0	0.0154809999999088	-1940.98	0	0.0154809999999088	
1940.964519	100	1	1	100			-1940.964519	1	0.0154809999999088	-1940.964519	1	0.0154809999999088	
1940.944519	100	1	1	100			-1940.944519	1	NaN	-1940.944519	1	NaN	
1940.904519	100	1	1	100			-1940.904519	1	NaN	-1940.904519	1	NaN	
1940.824519	100	1	1	100			-1940.824519	1	NaN	-1940.824519	1	NaN	
1940.664519	100	1	1	100			-1940.664519	1	NaN	-1940.664519	1	NaN	
1940.344519	100	1	1	100			-1940.344519	1	NaN	-1940.344519	1	NaN	
1939.704519	100	1	1	100			-1939.704519	1	NaN	-1939.704519	1	NaN	
1938.424519	100	1	1	100			-1938.424519	1	NaN	-1938.424519	1	NaN	
1935.864519	100	1	1	100			-1935.864519	1	NaN	-1935.864519	1	NaN	
1930.744519	100	1	1	100			-1930.744519	1	NaN	-1930.744519	1	NaN	
1925.624519	100	1	1	100			-1925.624519	1	NaN	-1925.624519	1	NaN	
1920.504519	100	1	1	100			-1920.504519	1	NaN	-1920.504519	1	NaN	
1915.384519	100	1	1	100			-1915.384519	1	NaN	-1915.384519	1	NaN	
1910.264519	100	1	1	100			-1910.264519	1	NaN	-1910.264519	1	NaN	
1905.144519	100	1	1	100			-1905.144519	1	NaN	-1905.144519	1	NaN	
1900.024519	100	1	1	100			-1900.024519	1	NaN	-1900.024519	1	NaN	
1894.904519	100	1	1	100			-1894.904519	1	NaN	-1894.904519	1	NaN	
1889.784519	100	1	1	100			-1889.784519	1	NaN	-1889.784519	1	NaN	
1884.664519	100	1	1	100			-1884.664519	1	NaN	-1884.664519	1	NaN	
1879.544519	100	1	1	100			-1879.544519	1	NaN	-1879.544519	1	NaN	
1874.424519	100	1	1	100			-1874.424519	1	NaN	-1874.424519	1	NaN	
1869.304519	100	1	1	100			-1869.304519	1	NaN	-1869.304519	1	NaN	
1864.184519	100	1	1	100			-1864.184519	1	NaN	-1864.184519	1	NaN	
1859.064519	100	1	1	100			-1859.064519	1	NaN	-1859.064519	1	NaN	
1853.944519	100	1	1	100			-1853.944519	1	NaN	-1853.944519	1	NaN	
1848.824519	100	1	1	100			-1848.824519	1	NaN	-1848.824519	1	NaN	
1843.704519	100	1	1	100			-1843.704519	1	NaN	-1843.704519	1	NaN	
1838.584519	100	1	1	100			-1838.584519	1	NaN	-1838.584519	1	NaN	
1833.464519	100	1	1	100			-1833.464519	1	NaN	-1833.464519	1	NaN	
